HRR,HRR.Name,Provider.ID,Hospital.Name,City,State,System,Number.of.deaths.among.chronically.ill.patients.assigned.to.hospital,Percent.of.enrollees.medical.inpatient.days.at.hospital.to.which.they.were.assigned,Hospital.Care.Intensity.Index.during.the.Last.Two.Years.of.Life,Total.Medicare.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Inpatient.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Outpatient.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,SNF.Long.Term.Care.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Home.Health.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Hospice.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Ambulance.spending.per.Decedent.during.the.last.two.years.of.life,Reimbursements.for.Durable.Medical.Equipment.per.Decedent.during.the.Last.Two.Years.of.Life,Other.spending.per.Decedent.during.the.last.two.years.of.life,Part.B.Spending.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Evaluation...Management.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Procedures.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Imaging.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Tests.per.Decedent.during.the.Last.Two.Years.of.Life,Other.Part.B.spending.per.Decedent.during.the.last.two.years.of.life,Hospital.reimbursements.per.Decedent.during.the.last.two.years.of.life,Inpatient.Days.per.Decedent.during.the.Last.Two.Years.of.Life,Reimbursements.per.patient.day..calculated.,Hospital.Reimbursements..Ratio.to.US.Average..calculated.,Hospital.Days..Ratio.to.US.Average..calculated.,Reimbursements.per.Day..Ratio.to.US.Average..calculated.,Payments.for.physician.visits.per.Decedent.during.the.last.two.years.of.life,Physician.Visits.per.Decedent.during.the.Last.Two.Years.of.Life,Payments.per.physician.visit..calculated.,Physician.visit.payments..Ratio.to.US.Average..calculated.,Physician.visits..Ratio.to.US.Average..calculated.,Payments.per.visit..Ratio.to.US.Average..calculated.,Hospital.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Total.ICU.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,High.Intensity.ICU.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Intermediate.Intensity.ICU.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Medical...Surgical.Unit.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,SNF.Bed.Inputs.per.1.000.Dededents.during.the.Last.Two.Years.of.Life,FTE.Physician.Labor.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,FTE.Medical.Specialist.Labor.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,FTE.Primary.Care.Physician.Labor.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Standardized.FTE.physician.labor..Ratio.MS.PC..calculated.,RNs.Required.Under.Proposed.Federal.Standards.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Inpatient.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Total.ICU.Days.per.Decedent.during.the.Last.Six.Months.of.Life,High.Intensity.ICU.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Intermediate.Intensity.ICU.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Medical...Surgical.Unit.Days.per.Decedent.during.the.Last.Six.Months.of.Life,SNF.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Physician.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Medical.Specialist.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Primary.Care.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Physician.visits.per.decedent.last.6.months..Ratio.MS.PC..calculated.,Home.Health.Agency.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Percent.of.Deaths.Occurring.In.Hospital,Percent.of.Deaths.Associated.With.ICU.Admission,Percent.of.Decedents.Enrolled.In.Hospice.during.the.Last.Six.Months.of.Life,Hospice.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Percent.of.Decedents.Seeing.10.or.More.Different.Physicians.during.the.Last.Six.Months.of.Life,Number.of.Different.Physicians.Seen.per.Decedent.during.the.Last.Six.Months.of.Life,Average.Co.Payments.per.Decedent.during.the.Last.Two.Years.of.Life,Average.Co.Payments.for.Physician.Services.per.Decedent.during.the.Last.Two.Years.of.Life,Average.Co.Payments.for.Durable.Medical.Equipment.per.Decedent.during.the.Last.Two.Years.of.Life,hospital_name.x,city.x,hospital_name.y,city.y,longitude,latitude,address,website,tele
251,MN- MINNEAPOLIS,240057,Abbott Northwestern Hospital,Minneapolis,MN,Allina Health,326,86,1,91902,47674,18607,12094,4634,6568,588,1349,388,14148,6597,2492,944,702,3413,42736,18.9,2264,1.1,1,1.1,6748,63.2,107,0.9,1,1,51.7,6.6,5.7,0.8,45.1,57.1,33.5,12.7,15.5,0.8,43.3,10.3,1.5,1.3,0.2,8.9,10,28,11.1,14.4,0.8,8.5,26.3,15.8,59.8,28.7,68.4,16.5,4682,4287,395,abbott northwestern hospital,minneapolis,abbott northwestern hospital,minneapolis,-93.261357013,44.954114314,800 EAST 28TH STREET,https://www.allinahealth.org/abbott-northwestern-hospital/,(612) 863-4000
382,TX- ABILENE,450558,Abilene Regional Medical Center,Abilene,TX,"Community Health Systems, Inc.",169,87.8,0.7,77012,26302,16255,19107,7174,5492,1708,529,445,14090,5364,2364,893,815,4654,23017,13.7,1682,0.6,0.8,0.8,5558,51.1,109,0.8,0.8,1,37.5,26.9,7.4,19.5,10.6,63.6,24.6,10.1,10.6,1,38.5,8.7,6.7,2.2,4.5,2,11.4,25.7,11.1,12.1,0.9,13.1,15.6,13.8,71.3,21.9,51,10.8,3919,3751,167,abilene regional medical center,abilene,abilene regional medical center,abilene,-99.7437275509999,32.3750692190001,6250 US HIGHWAY 83-84 AT ANTILLEY ROAD,http://www.abileneregional.com,(325) 428-1010
356,PA- PHILADELPHIA,390012,Abington Health Lansdale Hosp,Lansdale,PA,Jefferson Health,288,85.4,0.9,89758,34066,22176,17210,4889,7368,1696,994,1358,20804,8438,3914,1251,794,6407,29558,16.7,1771,0.8,0.9,0.9,8439,63.1,134,1.2,1,1.2,45.7,25.8,9.3,16.5,19.9,75,29.3,14.1,9.5,1.5,45.4,9.6,5.7,2.4,3.3,3.9,12.5,29.3,13.9,5.2,2.7,7.8,15.9,16,68.3,24.1,74,17.6,5800,5514,286,abington health lansdale hosp,lansdale,global rehab rehabilitation hospital,scottsdale,-111.889936313,33.5616182270001,8850 EAST PIMA CENTER PARKWAY,NOT AVAILABLE,(214) 879-7500
356,PA- PHILADELPHIA,390231,Abington Memorial Hospital,Abington,PA,Jefferson Health,827,90.7,1.1,94407,44652,19771,13838,6224,6005,1560,1051,1307,18475,8697,3437,1323,882,4136,39402,20.4,1930,1,1.1,0.9,8700,74,118,1.2,1.1,1.1,55.9,25.2,8.6,16.6,30.7,59.3,36.1,15.5,13,1.2,52.5,12.1,6,2.3,3.7,6.1,10.2,35.6,16.8,10.8,1.6,11.8,20.9,18.2,61.4,21.1,74.7,18.7,5360,5061,299,abington memorial hospital,abington,abington memorial hospital,abington,-75.120998973,40.1188949470001,1200 OLD YORK ROAD,http://www.amh.org,(215) 481-2001
12,AZ- PHOENIX,30094,Abrazo Arrowhead Campus,Glendale,AZ,TENET Healthcare Corporation,231,82.1,1.1,93523,44546,22029,10173,4804,7440,1462,1178,1889,26027,9432,5898,1912,1704,7080,38451,16.9,2272,1,0.9,1.1,9453,87.6,108,1.3,1.3,1,46.4,35.5,6.8,28.7,10.9,33.4,45,21.2,17.4,1.2,47.1,10.4,8.3,2,6.3,2.1,5.7,43.5,23.7,15.1,1.6,9.8,20.1,18.5,68.5,30.8,75.4,18.3,7451,7110,341,abrazo arrowhead campus,glendale,abrazo arrowhead campus,glendale,-112.201581761,33.655054195,18701 N 67TH AVENUE,https://www.abrazohealth.com,(623) 561-1000
12,AZ- PHOENIX,30030,Abrazo Central Campus,Phoenix,AZ,TENET Healthcare Corporation,95,85.5,1.1,84718,47304,11871,10298,3343,9455,788,944,713,16571,7804,4027,1147,958,2634,41247,15,2759,1.1,0.8,1.3,7823,75.7,103,1.1,1.1,1,41,33.3,8.6,24.7,7.6,39.6,34.5,18.9,10.3,1.8,43.3,8.5,6.7,1.9,4.8,1.8,7.2,36.4,20,8.6,2.3,7,19,17.4,67.1,35.6,63.6,15.7,5322,5053,269,abrazo central campus,phoenix,abrazo central campus,phoenix,-112.102181548,33.524815925,2000 WEST BETHANY HOME ROAD,https://www.abrazohealth.com,(602) 249-0212
12,AZ- PHOENIX,30083,Abrazo Scottsdale Campus,Phoenix,AZ,TENET Healthcare Corporation,85,79,0.9,81564,35157,15043,10273,5253,12695,777,767,1598,17808,7744,5336,1116,995,2618,30474,13.8,2204,0.8,0.8,1.1,7744,59.5,130,1.1,0.9,1.2,37.9,28.4,6.1,22.3,9.5,46.3,29.4,14.1,11.4,1.2,38.6,8.8,6.6,1.8,4.8,2.2,8.2,31.2,16.7,7.6,2.2,7.7,-99999,-99999,76.2,37.4,58.1,14.5,4742,4518,224,abrazo scottsdale campus,phoenix,abrazo scottsdale campus,phoenix,-111.997469967,33.639758182,3929 EAST BELL ROAD,https://www.abrazohealth.com,(602) 923-5640
12,AZ- PHOENIX,30110,Abrazo West Campus,Goodyear,AZ,TENET Healthcare Corporation,187,87.5,1,86785,39615,18864,10646,4079,9719,1433,986,1438,20827,8854,4286,1748,1452,4487,34009,15.8,2157,0.9,0.9,1,8892,78.8,113,1.2,1.2,1,43.2,31.2,4.9,26.3,12,40,37,20,11.5,1.7,42.6,9.4,7.2,1.1,6.1,2.2,5.3,38.3,21.1,8.5,2.5,6.5,19.4,17.1,69.2,35.7,70.5,17,5999,5718,281,abrazo west campus,goodyear,abrazo west campus hospital development of west phoenix,goodyear,-112.353166958,33.461821968,13677 W MCDOWELL ROAD,https://www.abrazohealth.com,(623) 882-1500
213,LA- LAFAYETTE,190044,Acadia General Hospital,Crowley,LA,Ochsner Lafayette General,107,88.5,1,80178,31196,15761,16305,5053,7845,2299,1079,639,14676,5855,3710,1392,805,2914,27488,19.8,1390,0.7,1.1,0.7,5869,55.8,105,0.8,0.8,1,54.2,11.1,7.9,3.2,43.1,78.3,27.1,7.5,14,0.5,47.4,11.8,2.7,2,0.7,9.1,12.8,24.5,7,15.3,0.5,9.9,12.8,-99999,76.9,39.9,44.7,10.3,4182,3835,346,acadia general hospital,crowley,acadia general hospital,crowley,-92.363650712,30.2260091810001,1305 CROWLEY RAYNE HIGHWAY,http://www.lafayettegeneral.com/our_facilities/main_facilities/acadia_general_hospital.aspx,(337) 783-3222
329,OH- COLUMBUS,360159,Adena Med Ctr-Chillicothe,Chillicothe,OH,Adena Health System,331,87.2,0.8,88354,43219,16636,12708,3176,5827,5134,1151,502,14050,5412,1799,780,486,5572,39375,16.4,2400,1,0.9,1.2,5675,53.9,105,0.8,0.8,1,44.9,12.1,8.8,3.2,32.9,78.6,23.2,11.3,6.8,1.7,41.1,9.1,2.8,2.1,0.6,6.3,12.5,25,10.1,5.2,1.9,7.7,20.2,13.9,60.1,29.5,66,14.7,4945,4542,403,adena med ctrchillicothe,chillicothe,va medical center  chillicothe,chillicothe,-83.020398762,39.3904310360001,17273 OH-104,http://www.chillicothe.va.gov/,(740) 773-1141
